epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/acc_speed,train/acc_x,train/acc_y,train/acc_yaw,train/loss_all,train/loss_egospeed,train/loss_forecast,train/loss_path,train/loss_speed,train/loss_wp,train/loss_x,train/loss_y,train/loss_yaw,val/loss_all,val/loss_egospeed,val/loss_forecast,val/loss_path,val/loss_wp
,7.207207207207207e-07,7.207207207207207e-07,4,,,,,,,,,,,,,,,,,,
,1.6216216216216216e-06,1.6216216216216216e-06,9,,,,,,,,,,,,,,,,,,
,2.5225225225225225e-06,2.5225225225225225e-06,14,,,,,,,,,,,,,,,,,,
,3.4234234234234234e-06,3.4234234234234234e-06,19,,,,,,,,,,,,,,,,,,
,4.324324324324324e-06,4.324324324324324e-06,24,,,,,,,,,,,,,,,,,,
,5.225225225225225e-06,5.225225225225225e-06,29,,,,,,,,,,,,,,,,,,
,6.1261261261261255e-06,6.1261261261261255e-06,34,,,,,,,,,,,,,,,,,,
,7.027027027027027e-06,7.027027027027027e-06,39,,,,,,,,,,,,,,,,,,
,7.927927927927927e-06,7.927927927927927e-06,44,,,,,,,,,,,,,,,,,,
,8.828828828828828e-06,8.828828828828828e-06,49,,,,,,,,,,,,,,,,,,
,9.72972972972973e-06,9.72972972972973e-06,54,,,,,,,,,,,,,,,,,,
,1.0630630630630629e-05,1.0630630630630629e-05,59,,,,,,,,,,,,,,,,,,
,1.153153153153153e-05,1.153153153153153e-05,64,,,,,,,,,,,,,,,,,,
,1.2432432432432431e-05,1.2432432432432431e-05,69,,,,,,,,,,,,,,,,,,
,1.3333333333333333e-05,1.3333333333333333e-05,74,,,,,,,,,,,,,,,,,,
,1.4234234234234234e-05,1.4234234234234234e-05,79,,,,,,,,,,,,,,,,,,
,1.5135135135135132e-05,1.5135135135135132e-05,84,,,,,,,,,,,,,,,,,,
,1.6036036036036033e-05,1.6036036036036033e-05,89,,,,,,,,,,,,,,,,,,
,1.6936936936936935e-05,1.6936936936936935e-05,94,,,,,,,,,,,,,,,,,,
,1.7837837837837837e-05,1.7837837837837837e-05,99,,,,,,,,,,,,,,,,,,
,1.8738738738738736e-05,1.8738738738738736e-05,104,,,,,,,,,,,,,,,,,,
,1.963963963963964e-05,1.963963963963964e-05,109,,,,,,,,,,,,,,,,,,
,2.0540540540540537e-05,2.0540540540540537e-05,114,,,,,,,,,,,,,,,,,,
,2.144144144144144e-05,2.144144144144144e-05,119,,,,,,,,,,,,,,,,,,
,2.234234234234234e-05,2.234234234234234e-05,124,,,,,,,,,,,,,,,,,,
,2.324324324324324e-05,2.324324324324324e-05,129,,,,,,,,,,,,,,,,,,
,2.4144144144144142e-05,2.4144144144144142e-05,134,,,,,,,,,,,,,,,,,,
,2.5045045045045044e-05,2.5045045045045044e-05,139,,,,,,,,,,,,,,,,,,
,2.5945945945945946e-05,2.5945945945945946e-05,144,,,,,,,,,,,,,,,,,,
,2.6846846846846845e-05,2.6846846846846845e-05,149,,,,,,,,,,,,,,,,,,
,2.7747747747747744e-05,2.7747747747747744e-05,154,,,,,,,,,,,,,,,,,,
,2.8648648648648646e-05,2.8648648648648646e-05,159,,,,,,,,,,,,,,,,,,
,2.9549549549549545e-05,2.9549549549549545e-05,164,,,,,,,,,,,,,,,,,,
,3.0450450450450447e-05,3.0450450450450447e-05,169,,,,,,,,,,,,,,,,,,
,3.135135135135135e-05,3.135135135135135e-05,174,,,,,,,,,,,,,,,,,,
,3.225225225225225e-05,3.225225225225225e-05,179,,,,,,,,,,,,,,,,,,
,3.315315315315315e-05,3.315315315315315e-05,184,,,,,,,,,,,,,,,,,,
,3.4054054054054055e-05,3.4054054054054055e-05,189,,,,,,,,,,,,,,,,,,
,3.495495495495495e-05,3.495495495495495e-05,194,,,,,,,,,,,,,,,,,,
,3.585585585585585e-05,3.585585585585585e-05,199,,,,,,,,,,,,,,,,,,
,3.675675675675675e-05,3.675675675675675e-05,204,,,,,,,,,,,,,,,,,,
,3.765765765765766e-05,3.765765765765766e-05,209,,,,,,,,,,,,,,,,,,
,3.8558558558558556e-05,3.8558558558558556e-05,214,,,,,,,,,,,,,,,,,,
